issue_key,non_resp_speaker,non_resp_position,non_resp_ministry,non_resp_role,non_resp_score,non_resp_attitude_tags,non_resp_speech_text,resp_speaker,resp_position,resp_score,resp_attitude_tags,resp_speech_text,speech_order_distance,date,session
第2号_2024-12-18,東国幹,財務大臣政務官,財務省,大臣政務官,2,"DEFER,EXPLAIN","御指摘のマクロ経済スライドの早期終了については、社会保障審議会年金部会において実施の是非も含めて現在御議論をいただいているものと承知しており、財務省としては、仮定の御質問には予断を持って答えることは差し控えたいと考えております。
　以上です。",福岡資麿,厚生労働大臣,3,EXPLAIN,"まさに、財源も含めて年金部会において今御検討をいただいているというふうに承知をしています。
　その上で、先ほどおっしゃいました、なぜ年金部会とかにも資料を示さなかったかということでいいますと、現行制度より増加する国庫負担の必要性を確認すること等を目的として作ったものでございまして、そういう意味では、基礎年金の国庫負担割合二分の一につきましては維持する前提で年金部会の資料においても財源確保の必要性をお示ししているということでございまして、そのような理解でございます。",2,2024-12-18,216
第2号_2024-12-18,東国幹,財務大臣政務官,財務省,大臣政務官,4,"POSITIVE,CONSIDER","人手不足への対応が急務となる中、年収の壁を意識せずに働く時間を延長することができる環境づくりを後押しするため、それぞれの制度における対応が重要であるというふうには考えております。
　税制面では、いわゆる百三万円の壁の見直しを含む令和七年度税制改正については、その具体的な実施方法等を含め、現在、与党税制調査会において議論をなされているものと承知をしているところでございます。
　政府としては、与党での議論を踏まえ、適切に対応してまいりたいと考えております。
　以上です。",福岡資麿,厚生労働大臣,2,CONSIDER,収入の要件によってそこの就業を抑制したり調整したりされる、そういった問題についてはセットで考えていく必要があるかと思いますが、先ほども言いましたように、税と社会保険制度では制度の目的や設計というものが異なりますから、そういったことも踏まえた議論が必要だというふうに考えております。,2,2024-12-18,216
第2号_2024-12-18,西野太亮,内閣府大臣政務官,内閣府,大臣政務官,3,EXPLAIN,"今委員から御指摘いただきました健康危機管理庁でございますけれども、令和三年、自民党総裁選の際に、当時、総裁候補でございました岸田前総理が、公衆衛生上の危機発生時に国、地方を通じた強い司令塔機能を有する組織が必要だという問題意識を念頭に、公約として提言されたものというふうに承知しております。
　令和五年の通常国会におきまして、内閣感染症危機管理統括庁の創設などを内容とします新型インフルエンザ等対策特別措置法及び内閣法の一部を改正する法律案を審議する際に、岸田前総理より、広く公衆衛生といっても、感染症対策が念頭にあったことは間違いなく、内閣感染症危機管理統括庁は私が訴えていた公約を具体化したもので",福岡資麿,厚生労働大臣,5,"POSITIVE,EXPLAIN","御指摘のとおり、感染症対策は平時からの備えが重要でございまして、御指摘の有事を想定した教育訓練の取組というのは欠かせないものであるというふうに認識をしております。
　このため、感染症危機管理対応訓練といたしまして、関係省庁対策会議におきまして感染情報を共有し、政府対策本部会合において総理から各閣僚への指示、さらに、厚生労働省対策本部において、総理指示を共有し、今後の対応方針を確認するなど、政府を挙げて取り組んでいるところでございます。
　厚生労働省対策本部は、厚生労働大臣であります私が省内の政務や部局長などの職員を参集して実施するものでございまして、今年度は、新規感染症が発生した際の初動対応な",2,2024-12-18,216
第2号_2024-12-18,西野太亮,内閣府大臣政務官,内閣府,大臣政務官,4,"EXPLAIN,POSITIVE","福岡大臣と重複する部分があるかもしれませんけれども、統括庁としてもお答え申し上げます。
　感染症危機に関する教育訓練といたしましては、昨年九月に内閣感染症危機管理統括庁が設置されましたけれども、それに伴いまして、感染症危機管理対応訓練として、従来から実施しておりました訓練に加え、都道府県や国立感染症研究所などにも御参加いただく形で訓練を加えさせていただいております。今年度につきましても、先日、十一月に一連の訓練を行ったところでございます。こうした訓練には、その種別に応じて、赤澤大臣を含め政務三役も参加させていただいているところでございます。
　それに加えまして、感染症危機に携わる者の資格向上を",福岡資麿,厚生労働大臣,5,"POSITIVE,EXPLAIN","御指摘のとおり、感染症対策は平時からの備えが重要でございまして、御指摘の有事を想定した教育訓練の取組というのは欠かせないものであるというふうに認識をしております。
　このため、感染症危機管理対応訓練といたしまして、関係省庁対策会議におきまして感染情報を共有し、政府対策本部会合において総理から各閣僚への指示、さらに、厚生労働省対策本部において、総理指示を共有し、今後の対応方針を確認するなど、政府を挙げて取り組んでいるところでございます。
　厚生労働省対策本部は、厚生労働大臣であります私が省内の政務や部局長などの職員を参集して実施するものでございまして、今年度は、新規感染症が発生した際の初動対応な",1,2024-12-18,216
第2号_2024-12-18,西野太亮,内閣府大臣政務官,内閣府,大臣政務官,4,POSITIVE,"先ほど答弁申し上げましたとおり、政務三役及び職員の教育訓練につきましては、様々な方法で取り組んでいるところでございます。こうした教育訓練を通じて、職員の間で、あるいは政務も含めて共通知識を深めていく、もっと言えば共通言語を習得していく、こうしたことに努めていきたいというふうに思っております。
　それから、御指摘のありました知識基盤の整備というところにつきましては、研修資材の充実に向けた取組を進めているところでございまして、日々の業務遂行に生かすとともに、有事への対応能力を向上させるために、現場視察あるいは講座、こうしたことを実施していって、引き続き、職員一人一人の専門的な知見の向上に取り組んで",福岡資麿,厚生労働大臣,5,"POSITIVE,EXPLAIN","御指摘のとおり、感染症対策は平時からの備えが重要でございまして、御指摘の有事を想定した教育訓練の取組というのは欠かせないものであるというふうに認識をしております。
　このため、感染症危機管理対応訓練といたしまして、関係省庁対策会議におきまして感染情報を共有し、政府対策本部会合において総理から各閣僚への指示、さらに、厚生労働省対策本部において、総理指示を共有し、今後の対応方針を確認するなど、政府を挙げて取り組んでいるところでございます。
　厚生労働省対策本部は、厚生労働大臣であります私が省内の政務や部局長などの職員を参集して実施するものでございまして、今年度は、新規感染症が発生した際の初動対応な",4,2024-12-18,216
第2号_2024-12-18,西野太亮,内閣府大臣政務官,内閣府,大臣政務官,4,"EXPLAIN,CONSIDER","まず、統括庁の役割の確認ですけれども、統括庁は、こうしたＮＢＣを使った事態のうち、生物兵器を用いたバイオテロの場合であって、かつ感染症危機の様相を帯びている場合に、内閣危機管理監などと連携して事態に当たるということを任務としているというふうに承知しております。
　統括庁は、今委員御指摘の二つの部隊とはこれまでのところ直接の接点はございませんけれども、御指摘のような教育訓練について、自衛隊においてどのような教育訓練を日頃から実施されているのか、こうしたことを把握して、そうしたことを踏まえた上で、防衛省とどのような連携が可能なのかということを考えていきたいというふうに思っています。",福岡資麿,厚生労働大臣,4,"POSITIVE,CONSIDER","陸上自衛隊対特殊武器衛生隊は、生物剤感染者の応急措置を実施する部隊でございまして、新型コロナウイルス感染症発生時も御支援いただいたというふうに承知をしております。また、陸上自衛隊中央特殊武器防護隊は、主にＮＢＣ事態に対応するために設置された部隊であると承知しています。
　このため、今後の感染症有事においても陸上自衛隊の各部隊との連携した対応が想定され得ることから、内閣感染症危機管理統括庁や防衛省等と協力して、連携した訓練の実施の在り方について検討してまいりたいと存じます。",1,2024-12-18,216
第2号_2024-12-18,西野太亮,内閣府大臣政務官,内閣府,大臣政務官,5,"POSITIVE,EXPLAIN","感染症危機への備えとして、平時からの訓練、教育というのは非常に重要なことだというふうに考えておりまして、そのための予算確保は重要でございます。
　統括庁といたしましては、令和六年度の訓練、研修関連の経費として約八千万円を計上しております。統括庁全体の予算は約四億八千万でございますので、そのうちの約一八％を占めているということでございます。",福岡資麿,厚生労働大臣,4,"EXPLAIN,POSITIVE","厚生労働省では、平時には主に健康・生活衛生局感染症対策部の職員が感染症に係る業務に携わっておりますが、感染症有事においては他の部局の職員もサージキャパシティーとして感染症対応を行うことを想定して、体制を整備してございます。職員に対します感染症危機管理に関する教育訓練についても、感染症対策部の職員に対する比較的専門性の高いものに加えて、サージキャパシティーとなる職員等に対しても広く実施しているところでございます。
　こうした職員に対する座学や実践形式での教育訓練は、全て通常業務の一環として行っております。このため、特に感染症対策部における教育訓練に要する費用は予算上特別に切り分けて計上しておらず",1,2024-12-18,216
第2号_2024-12-18,今井絵理子,内閣府大臣政務官・復興大臣政務官,内閣府/復興省,大臣政務官,4,"POSITIVE,EXPLAIN","まずは、震災でお亡くなりになられた方々に心より御冥福を申し上げます。
　その上で、災害関連死の要因についてなんですけれども、これまで関連死と認定された方は、能登半島のときは、八十代以上の方が全体の約八割を占めて、死因については呼吸器系や循環器系疾患による方が多く見られ、また、基礎疾患を抱える方が震災による環境の変化やストレス等により亡くなられるケースが多かったところです。
　発災当初から、医師や保健師等による避難者への支援や、また、ホテル、旅館などの安全で快適な場所への二次避難に取り組んでおりましたが、今後、フェーズが変わっておりますので、更に、仮設住宅等での入居者の見守り、健康観察、またデイ",福岡資麿,厚生労働大臣,4,POSITIVE,"介護職は他産業と比較して元々有効求人倍率が高く、それが、昨今の賃上げで先行する他産業との人材の引き合いとなっている状況にあるというふうに考えております。
　今後また高齢者の方々が増加することであったり、生産年齢人口の減少が進む中で、将来にわたって必要な介護サービスを安心して受けられるように、担い手を確保していくということは極めて喫緊の課題だというふうに認識をしています。
　このため、介護人材の確保に向けては、累次の処遇改善を行うことを始め、ＩＣＴや介護ロボットといったテクノロジーを活用した、ちょっと余り好きじゃないかもしれないですが、生産性を向上する、要は効率を上げていくという取組をやっていく",2,2024-12-18,216
第2号_2024-12-18,東国幹,財務大臣政務官,財務省,大臣政務官,4,"CONSIDER,EXPLAIN","生活扶助基準については、従来、一般低所得者世帯の消費水準との均衡を図るよう設定をされておりまして、先月に取りまとめられた財政制度等審議会の建議においても、こうした観点から、現行の基準額について、臨時的、特例的対応によって令和四年度以前の基準額を保障していること等により、一般低所得者世帯の消費実態との間で不均衡が生じているとの指摘がなされているものと承知をしております。
　財務省としては、令和七年度以降の生活扶助基準については、骨太方針二〇二四において、社会経済情勢等を踏まえた必要な対応を行うというふうにされておりまして、それを踏まえ、引き続き、予算編成過程において、制度を所管する厚生労働省とよ",福岡資麿,厚生労働大臣,4,"POSITIVE,EXPLAIN","まず、マイナ保険証は、本人の健康医療情報を活用した適切な医療の提供に大きく寄与するものでございますから、その利用を促進することは大変重要であるというふうに考えておりまして、そういった観点から、十二月二日にマイナ保険証を基本とする仕組みへと移行したところでございます。
　その上で、マイナンバーカードと一緒にマイナポータルの資格情報画面や資格情報のお知らせ等を提示いただくといった資格確認方法は、何らかの事情でオンライン資格確認が行えない場合でも、十割の全額自己負担をせずに、三割等の適切な自己負担で円滑に保険診療を受けられる方法として整理をしたものでございます。
　マイナ保険証の取得自体は任意である",2,2024-12-18,216
第26号_2025-06-18,武部新,文部科学副大臣,文部科学省,副大臣,2,"EXPLAIN,DEFER,POSITIVE","お尋ねの件につきまして、現在、東京大学において事実関係について調査を進めているとともに、現時点において、東京大学に訴状は接到していない状況と承知しております。
　また、報道されている教員については、既に大学において、学内の様々な委員会の委員や診療科長の役職から外し、学生の教育指導にも従事させていない旨の報告を受けております。
　文部科学省としては、大学において適切な対応を図るよう要請しておりまして、引き続き、今後も状況を注視しつつ、必要に応じてしっかり助言、指導を行ってまいります。",福岡資麿,厚生労働大臣,4,"EXPLAIN,POSITIVE","診断書における日常生活能力の判断に当たりましても、特定の行為ができるかどうかではなく総合的に判断することとしておりますが、例えば主治医向けの診断書の記載要綱において、身辺の清潔保持につきましては、診断書における、自発的にできるが時には助言や指導を必要とすることとは、身体の清潔を保つことがある程度自主的に行える場合であったり、回数は少ないが大体は自室の清掃や片づけが自主的に行える場合といった例をお示しし、個々の請求者の状態を踏まえた総合的な判断を行うこととしているところでございます。
　こういった例示とかをもっと分かりやすくするというようなことも含めて、できる限り客観的な判断が行われるように努め",8,2025-06-18,217
第25号_2025-06-06,古川直季,総務大臣政務官,総務省,大臣政務官,4,"POSITIVE,CONSIDER,EXPLAIN","お答えさせていただきます。
　総務省では、自治体病院が不採算医療や特殊医療などの地域医療にとって重要な役割を担っていることを踏まえ、これまでも必要な地方財政措置を講じてまいりました。しかし、自治体病院は、今長谷川委員がおっしゃるように、現在、物価高騰や人件費の増加、医師、看護師等の不足、人口減少などを背景とする厳しい経営環境に置かれていると認識しております。このような状況や自治体病院の実態を踏まえ、普通交付税の病床割の単価について検討してまいります。
　また、令和七年度においては、不採算地域における医療提供体制を確保するため、不採算地区病院等への特別交付税措置の基準額の三〇％引上げを継続してお",福岡資麿,厚生労働大臣,5,"POSITIVE,COMMIT","昨年一年間の出生数は過去最少の六十八万六千六十一人、合計特殊出生率は一・一五と、少子化に歯止めがかかっていない状況に私としても危機感を感じておりまして、重く受け止めなければならないと感じています。
　こうした中で、妊産婦への更なる支援の強化についてスピード感を持って実現していくことが極めて重要でございまして、私としても、こども家庭庁と連携して、省庁の垣根を越えて対応していく必要があると考えています。
　本日の朝開催されましたこども政策推進会議におきまして、総理からは、標準的な出産費用の自己負担無償化と安全で質の高い周産期医療の確保を進めるよう指示を受けたところでございます。
　令和八年度を目途",8,2025-06-06,217
第23号_2025-05-30,本田太郎,防衛副大臣・内閣府副大臣,防衛省/内閣府,副大臣,4,"POSITIVE,EXPLAIN,REFUSE","お答えいたします。
　米軍施設・区域については、これまでも様々な形で整理、統合、縮小の努力を積み重ねてきたところでありまして、沖縄が本土に復帰した一九七二年以降では、返還面積が最も大きいものは北部訓練場の過半である約四千ヘクタールです。
　米軍施設・区域の土地の返還は、基地負担軽減のため全力で取り組んでいるところであります。お尋ねのありました政治的な意味につきましては、防衛省の立場から申し上げることは厳しいという点を御理解いただきたいと思います。
　その上で、沖縄県の資料に基づき、経済効果や雇用誘発の観点から大きい意義があった返還事例について申し上げますと、桑江、北前地区にあったハンビー飛行場",福岡資麿,厚生労働大臣,1,"EXPLAIN,REFUSE","委員の問題意識については理解をさせていただいた上で、当方の考え方を述べさせていただければ、予防接種法上の定期接種というのは、公衆衛生上の見地から実施するものでございます。
　新型コロナワクチンにつきましても、審議会における議論等を踏まえまして、令和六年度から、重症化予防を目的として高齢者等を対象に定期接種化し、費用負担につきましては、自己負担の急激な増加を避ける観点から、八千三百円の助成を実施することにした。図で示していただいたとおりでございます。
　その上で、令和七年度につきましては、他のワクチンと同様に、接種費用の助成を終了することとし、低所得者分の接種費用について地方財政措置を講ずること",4,2025-05-30,217
第23号_2025-05-30,本田太郎,防衛副大臣・内閣府副大臣,防衛省/内閣府,副大臣,3,EXPLAIN,"お答えいたします。
　前線における輸血につきましては、通常の医療機関で行うような血液型を合わせた輸血が困難な状況下で行われることとなるために、単純、安全かつ迅速に輸血を行える低力価Ｏ型全血液を確保する方針としています。
　防衛省においては、隊員から採血した医療施設と、それとは異なる前線等での場所で当該血液を他の隊員に輸血する行為を広義の隊員間輸血と定義をしています。なお、医療施設内で採血された血液を、同一医療施設内において他の隊員に輸血する行為を狭義の隊員間輸血と定義をしています。",福岡資麿,厚生労働大臣,3,EXPLAIN,"済みません、厚生労働省として何をしているのかというお問合せがありました。
　厚生労働省としては、がん対策におきまして、琉球大学病院を都道府県がん診療連携拠点病院として指定しておりまして、その役割を果たせるように支援をしております。
　このほか、この拠点に特化した支援ではないものの、例えば、創薬開発として、ＡＭＥＤによるアカデミアも含めた研究開発の支援であったり、医師派遣機能の強化といたしまして、各都道府県に対する、医師派遣事務等を行う地域医療支援センターの運営等の取組への支援、また、感染症対策として、感染症指定医療機関に対する医療施設運営費補助金による支援など、各種支援を行っておりまして、こう",2,2025-05-30,217
第23号_2025-05-30,本田太郎,防衛副大臣・内閣府副大臣,防衛省/内閣府,副大臣,4,"POSITIVE,EXPLAIN","隊員間輸血は、事態対処時を想定した輸血でありまして、その供血者となるためには、血液型や必要な事前の検査の実施とともに、その結果を踏まえた、個人情報を含む確実な管理が必要となってまいります。そのため、まずは自衛隊員を対象として、隊員間輸血が可能となる体制の整備に取り組んでいるところであります。
　いずれにいたしましても、事態対処時において、特に前線における隊員の救命の観点で有用な全血液を十分に確保できるよう、防衛省・自衛隊として必要な体制整備に努めてまいります。",福岡資麿,厚生労働大臣,4,"POSITIVE,EXPLAIN","今防衛省から御発言がありましたように、有事の際の自衛隊員に対する輸血は、防衛省の検討会の提言書に基づき、自衛隊において自律的に血液製剤を確保、備蓄して行われることとなっているものと承知しています。
　これを踏まえながら、厚生労働省では現在、有事における防衛省の輸血医療体制の構築に対して、日本赤十字社などとも連携をしながら協力をしているところです。
　今御指摘のあった点でいきますと、引き続き、有事におけます自衛隊員に対する輸血医療体制の構築については、防衛省としっかり連携を図ってまいりたいと思います。",2,2025-05-30,217
第17号_2025-05-16,古川直季,総務大臣政務官,総務省,大臣政務官,4,"POSITIVE,EXPLAIN","お答えいたします。
　総務省では、先月末、自治体の首長宛てに、カスタマーハラスメントを含む各種ハラスメント対策の積極的な取組について要請をする通知を発出したところであります。
　自治体におけるカスタマーハラスメント対策においては、効果的、積極的な取組と同時に、正当なクレームや行政サービスの利用者の権利等に留意する必要があると考えています。
　その点を踏まえ、通知においては、組織的な対応が重要だが、その上で、部門によっては当該部門の特性に応じた対応も必要であることについて盛り込む一方、留意点として、社会通念上相当な範囲で行われたクレームは、いわば正当なクレームであり、カスタマーハラスメントに該当",福岡資麿,厚生労働大臣,5,"EXPLAIN,CONSIDER,POSITIVE","本法案では、顧客等の言動であって、社会通念上許容される範囲を超えたものにより労働者の就業環境が害されることをカスタマーハラスメントとした上で、その防止のため、雇用管理上必要な措置を事業主に義務づけることとしております。
　具体的な措置の内容につきましては、仮に法案が成立した場合、指針等でお示しすることを予定をしておりますが、労働政策審議会の建議においては、障害者差別解消法に基づく合理的配慮の提供義務を遵守する必要があることは当然のことであることを指針等で示すことが適当であるとされておりまして、これを踏まえて検討をしていく予定でございます。
　そして、その指針の検討に当たりましては、何らかの形で",2,2025-05-16,217
第17号_2025-05-16,辻清人,内閣府副大臣,内閣府,副大臣,4,"CONSIDER,POSITIVE","先ほどから議論になっている公共工事に関する調達を始め、加点評価等では更なる実施余地があると考えているんですね。
　政府としては、現在、国の機関における実施状況や競争参加者の特性等を踏まえつつ、各機関における実施を促進しているところで、委員が今御提案のそういった試行的な取組については、いろいろ御提案も参考に、どのようなインセンティブの強化が可能か、関係府省の御意見も聞きながら研究させていただきたいと思います。",福岡資麿,厚生労働大臣,2,"EXPLAIN,POSITIVE,DEFER","今日、別の委員とのやり取りの中でも具体的な事例等について御紹介がありましたが、性的マイノリティーの当事者であります労働者が職場において様々な困難を抱えておられるということは承知をしております。
　本法案はカスタマーハラスメントの対策の強化等を図るものでありますが、厚生労働省においては、これまでも順次、職場におけるハラスメント対策を強化する中で、性的指向、性自認に関しても必要な対応を図ってきたところです。
　具体的には、指針において、性的指向、性自認にかかわらず、性的な言動であればセクシュアルハラスメントに該当する旨をお示しするとともに、労働者に対する性的指向、性自認に関する侮辱的な行動であった",4,2025-05-16,217
第16号_2025-05-14,辻清人,内閣府副大臣,内閣府,副大臣,3,EXPLAIN,"早稲田委員にお答えさせていただきます。
　我々内閣府として、第五次の男女共同参画基本計画に基づいて、婚姻によって旧姓を使えなくなることによる不便を軽減するべく、旧姓の通称使用の拡大に向けて取組を進めてきております。その結果、現在では、住民票、マイナンバーカード、運転免許証、パスポート、不動産登記等において旧姓の併記が可能となっています。
　また、各省庁の所管する各種国家資格等において旧姓をどのように使用できるのか、内閣府が令和六年に調査したところ、調査対象となった三百二十の国家資格、免許等の全てにおいて旧姓使用が可能であることを確認できています。
　それで、あとは、例えば弁護士の資格証や裁判の",福岡資麿,厚生労働大臣,4,"EXPLAIN,CONSIDER","男女雇用機会均等法では、労働者の募集であったり採用等に際しまして、性別以外の事由を要件とする措置のうち、厚生労働省令で定めるものであって、他の性の労働者と比較して、一方の性の労働者に相当程度の不利益を与えるものを合理的な理由がないときに講ずることを間接差別として禁止しています。
　間接差別は、性別要件のような直接差別とは異なりまして、どのような要件でも間接差別に該当し得る広がりのある概念でありますため、行政指導を行う上では、対象となる間接差別の範囲を明確化する必要があるところから、このように省令で列挙しているところでございます。
　この更なる対象の追加につきましては、間接差別として違法となる範",2,2025-05-14,217
第16号_2025-05-14,辻清人,内閣府副大臣,内閣府,副大臣,4,"POSITIVE,CONSIDER","ありがとうございます。
　国会での議論、御党が提出された法案等を含めて、そういった動きにも我々はつぶさに確認をさせていただいておりますが、そういった婚姻による不便さ、改姓した人の不便さや不都合を解消すべく、運用面での対応などを今検討しておりまして、今後もそういった旧姓の通称使用の拡大やその周知に取り組んでまいりまして、その上での、今後のことについては、多少委員に先回りさせていただいて申し訳ないんですが、個人の見解をここで述べさせていただくこと、私も、委員御指摘のとおり、個人としては様々な選挙等で、そういった経歴に偽りはございません。
　一方で、今後、この委員会を含めて、国民の様々な意見があるも",福岡資麿,厚生労働大臣,4,"EXPLAIN,CONSIDER","男女雇用機会均等法では、労働者の募集であったり採用等に際しまして、性別以外の事由を要件とする措置のうち、厚生労働省令で定めるものであって、他の性の労働者と比較して、一方の性の労働者に相当程度の不利益を与えるものを合理的な理由がないときに講ずることを間接差別として禁止しています。
　間接差別は、性別要件のような直接差別とは異なりまして、どのような要件でも間接差別に該当し得る広がりのある概念でありますため、行政指導を行う上では、対象となる間接差別の範囲を明確化する必要があるところから、このように省令で列挙しているところでございます。
　この更なる対象の追加につきましては、間接差別として違法となる範",4,2025-05-14,217
